id,name,terminalName,latestUpdateTime,lastCommWithServer,lat,long,installed,locked,installDate,removalDate,temporary,public,nbBikes,nbEmptyDocks
"2","100 Main Street SE","30000","1461524168928","1461534249662","44.984892","-93.256551","true","false","0","0","false","true","8","19"
"3","25th Street & 33rd Ave S","30001","1461523691333","1461534182519","44.957341","-93.223374","true","false","0","0","false","true","8","7"
"4","Riverside Ave & 23rd Ave S","30002","1461528517174","1461534254642","44.967115","-93.240149","true","false","0","0","false","true","6","9"
"5","Plymouth Ave N &  N Oliver Ave","30003","1461492098258","1461534116494","44.991412","-93.306269","true","false","0","0","false","true","8","7"
"6","11th Street & Hennepin","30004","1461529206566","1461534198190","44.97534","-93.27869","true","false","0","0","false","true","4","19"
"7","Hennepin & Central Avenue NE","30005","1461523164538","1461534315826","44.98889","-93.25392","true","false","0","0","false","true","8","7"
"8","YWCA Downtown","30006","1461533699072","1461534179185","44.972217","-93.276435","true","false","0","0","false","true","7","16"
"9","9th Street & 4th Ave","30007","1461492045341","1461534276360","44.97265","-93.26872","true","false","0","0","false","true","5","14"
"10","Midtown Exchange","30008","1461531862818","1461534235186","44.94859","-93.2602","true","false","0","0","false","true","13","6"
"11","4th Street & 13th Ave SE","30009","1461534235947","1461534236776","44.98102","-93.23746","true","false","0","0","false","true","11","7"
"12","Hennepin & Laurel Ave","30010","1461526160550","1461534180572","44.97391","-93.28305","true","false","0","0","false","true","7","8"
"13","North 2nd Street & 4th Ave N","30011","1461522646731","1461534112756","44.986087","-93.272459","true","false","0","0","false","true","11","7"
"14","Mpls Convention Center","30012","1461526137370","1461534169800","44.970041","-93.275861","true","false","0","0","false","true","7","12"
"15","Lyndale Ave S & W 29th Street","30013","1461533719027","1461534085463","44.94948465376553","-93.28822731971741","true","false","0","0","false","true","12","7"
"16","22nd Ave S & Franklin Ave","30014","1461529734997","1461534111541","44.96293","-93.241042","true","false","0","0","false","true","7","8"
"17","Washington & Cedar","30015","1461531924298","1461534234893","44.97344","-93.24748","true","false","0","0","false","true","5","15"
"18","Walker Art Center","30016","1461527539772","1461534281648","44.96746","-93.28848","true","true","0","0","false","true","15","1"
"19","Lyndale Ave S & 22nd Street","30017","1461521791531","1461534124479","44.960744","-93.28815","true","false","0","0","false","true","4","15"
"20","MCAD","30018","1461492225761","1461534118383","44.957214","-93.274981","true","false","0","0","false","true","6","11"
"21","Social Sciences","30019","1461533667975","1461534151131","44.971359","-93.243754","true","false","0","0","false","true","13","16"
"22","YWCA Uptown","30020","1461532077564","1461534216271","44.95131","-93.29853","true","false","0","0","false","true","11","8"
"23","Washington & 2nd Ave N","30021","1461524501628","1461534159660","44.98383","-93.27099","true","false","0","0","false","true","8","10"
"24","26th Street & Lyndale","30022","1461526360393","1461534159927","44.95548","-93.28775","true","false","0","0","false","true","6","9"
"25","Chicago & 27th Street","30023","1461524261457","1461534242396","44.95355","-93.26259","true","false","0","0","false","true","7","7"
"26","Coffman Union","30024","1461527020143","1461534245570","44.973378","-93.234762","true","false","0","0","false","true","8","27"
"27","Williamson Hall","30025","1461534036634","1461534280139","44.977406","-93.234911","true","false","0","0","false","true","7","18"
"28","Mayo Memorial Building","30026","1461533918114","1461534161933","44.97209","-93.23206","true","false","0","0","false","true","4","21"
"29","4th Street S & 19th Ave","30027","1461527787775","1461534235644","44.97003","-93.24519","true","false","0","0","false","true","11","8"
"30","Washington & Marquette","30028","1461526547222","1461534222929","44.980873610846814","-93.26692521572113","true","false","0","0","false","true","6","13"
"31","Hennepin County Government Center","30029","1461492038403","1461534174661","44.976602","-93.266701","true","false","0","0","false","true","10","23"
"34","Franklin & 11th Ave","30033","1461529747102","1461534264046","44.96251","-93.2583","true","false","0","0","false","true","3","12"
"35","Oak Street Ramp","30034","1461520287749","1461534344348","44.97202","-93.22697","true","false","0","0","false","true","11","12"
"36","South 2nd Street & 3rd Ave S","30030","1461534314281","1461534315280","44.9809267335758","-93.26345443725586","true","false","0","0","false","true","11","20"
"37","23rd Ave SE & 6th Street SE","30031","1461528998466","1461534195970","44.977028","-93.221639","true","false","0","0","false","true","8","10"
"38","4th Street & 17th Ave SE","30032","1461533237220","1461534172175","44.97913","-93.23189","true","false","0","0","false","true","10","5"
"39","Loring Park","30035","1461492268495","1461534332269","44.9715","-93.284927","true","false","0","0","false","true","5","10"
"40","Downtown Library","30036","1461529845118","1461534343759","44.980199","-93.269217","true","false","0","0","false","true","6","25"
"41","Currie Park","30037","1461530066031","1461534328739","44.969225","-93.251136","true","false","0","0","false","true","2","13"
"42","E Franklin Ave & Bloomington Ave S","30038","1461531997583","1461534336434","44.96285","-93.252269","true","false","0","0","false","true","4","11"
"43","10th Street & Nicollet Mall","30039","1461524271603","1461534196337","44.973839","-93.274544","true","false","0","0","false","true","9","10"
"44","11th Street & Marquette","30040","1461510206568","1461534167196","44.97265","-93.27405","true","false","0","0","false","true","10","9"
"45","Franklin & Portland","30041","1461533770289","1461534307302","44.962846","-93.267526","true","false","0","0","false","true","7","8"
"46","IDS Center","30042","1461522587597","1461534321608","44.975641","-93.272185","true","false","0","0","false","true","11","12"
"47","Lake Street & Humboldt","30043","1461527160533","1461534198766","44.94865","-93.30077","true","false","0","0","false","true","6","13"
"48","26th Street & Hennepin","30044","1461492131762","1461534248397","44.9554734","-93.29714298","true","false","0","0","false","true","5","10"
"49","Franklin & 28th Ave","30045","1461532564144","1461534257196","44.962701","-93.230893","true","false","0","0","false","true","10","9"
"50","University & Bank Street SE","30047","1461529635733","1461534220437","44.98717","-93.25576","true","false","0","0","false","true","8","11"
"51","Dupont Ave & 22nd Street","30048","1461531583074","1461534110397","44.96146","-93.29303","true","false","0","0","false","true","4","11"
